id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
175542721,Hodge St to Dead End,3rd Division,1945-01-01,Concrete,158,26,0,100,443,60,2,1,4,https://tools.wprdc.org/images/pittsburgh/steps/Hodge_St_to_Dead_End.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.43262816,-79.95932866
213539979,Hodge St to Mackey St,3rd Division,,Asphalt/Wood,108,18,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Hodge_St_to_Mackey_St.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.43376972,-79.95889391
952208964,Hollace St to Orbin St,3rd Division,,Concrete,33,33,1,9,638,91,9,10,10,https://tools.wprdc.org/images/pittsburgh/steps/Hollace_St_to_Orbin_St.jpg,Middle Hill,6,5,42003050100,3,5,2,2-5,40.45069775,-79.96772143
840781604,Holt St from Sterling St,4th Division,,Wood,180,47,0,100,783,0,4,4,6,https://tools.wprdc.org/images/pittsburgh/steps/Holt_St_from_Sterling_St.jpg,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42224825,-79.97368464
2138829449,Hoosac St from Alger St to Neeb St East,3rd Division,,Concrete,310,51,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Hoosac_St_from_Alger_St_to_Neeb_St_East.jpg,Greenfield,5,15,42003151600,3,15,4,2-12,40.42712673,-79.94127941
1476634806,Hoosac St from Alger St to Neeb St West,3rd Division,,Concrete,311,45,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Hoosac_St_from_Alger_St_to_Neeb_St_West.jpg,Greenfield,5,15,42003151600,3,15,4,2-12,40.42710082,-79.94139708
740572644,Hoosac St from Neeb St West,3rd Division,,Concrete,18,7,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Hoosac_St_from_Neeb_St_West.jpg,Greenfield,5,15,42003151600,3,15,4,2-12,40.42759307,-79.94160641
320381593,Horning St from Ivyglen St to Lodge St,4th Division,,Concrete,316,46,0,100,593,93,5,3,5,https://tools.wprdc.org/images/pittsburgh/steps/Horning_St_from_Ivyglen_St_to_Lodge_St.jpg,Overbrook,4,32,42003320400,5,32,3,4-23,40.38204023,-79.99416756
1307398990,Hunnell St from Leister St to Hunnell St,1st Division,,Wood,216,50,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Hunnell_St_from_Leister_St_to_Hunnell_St.jpg,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46375319,-79.9934093
1878353216,Hunnell St from Yetta Ave to Leister St,1st Division,,Wood,151,66,0,100,630,67,5,4,4,https://tools.wprdc.org/images/pittsburgh/steps/Hunnell_St_from_Yetta_Ave_to_Leister_St.jpg,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46326493,-79.99319442
1682996008,Huxley St from Chartiers Ave to Adon St,5th Division,1949-01-01,Concrete,108,56,1,4,963,79,6,1,7,https://tools.wprdc.org/images/pittsburgh/steps/Huxley_St_from_Chartiers_Ave_to_Adon_St.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45326922,-80.06182636
1746714997,Huxley St from Emporia St to Tybee St,5th Division,,Brick/Asphalt,262,12,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Huxley_St_from_Emporia_St_to_Tybee_St.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45263057,-80.06109433
1637790311,Hyena St from Marvista St to Success St,1st Division,1945-01-01,Concrete,245,166,0,100,364,61,6,9,9,https://tools.wprdc.org/images/pittsburgh/steps/Hyena_St_from_Marvista_St_to_Success_St.jpg,California-Kirkbride,6,21,42003250700,1,21,1,1-9,40.4620743,-80.02647308
1880426901,Inglenook Pl from Singer Pl to Sickles St,2nd Division,1944-01-01,Concrete,227,,0,100,671,65,5,3,5,https://tools.wprdc.org/images/pittsburgh/steps/Inglenook_Pl_from_Singer_Pl_to_Sickles_St.jpg,East Hills,9,13,42003130600,2,13,5,3-17,40.45131505,-79.8829857
700477853,Inglenook Place from Oakwood St to Singer Pl,2nd Division,1944-01-01,Concrete,280,,0,100,821,96,7,3,6,https://tools.wprdc.org/images/pittsburgh/steps/Inglenook_Place_from_Oakwood_St_to_Singer_Pl.jpg,East Hills,9,13,42003130600,2,13,5,3-17,40.45112421,-79.88401299
1883065683,Inglis St from Smithton Ave,1st Division,,Concrete,83,28,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Inglis_St_from_Smithton_Ave.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47440483,-80.02818107
1859229416,Interboro Ave at Oakleaf Dr,3rd Division,,Concrete,28,18,1,1,476,79,3,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Interboro_Ave_at_Oakleaf_Dr.jpg,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37067223,-79.9128794
248159793,Iowa St from Centre Ave to Avalon St,3rd Division,,Concrete,62,50,4,7,747,315,10,6,9,https://tools.wprdc.org/images/pittsburgh/steps/Iowa_St_from_Centre_Ave_to_Avalon_St.jpg,Terrace Village,6,5,42003051000,3,5,2,2-22,40.44815861,-79.95921281
1477924688,Iowa St from Centre Ave to Ewart Dr,3rd Division,,Concrete,60,52,4,10,751,315,10,10,10,https://tools.wprdc.org/images/pittsburgh/steps/Iowa_St_from_Centre_Ave_to_Ewart_Dr.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.44849876,-79.95892846
471909075,Ireland Way 1,1st Division,,Concrete,99,35,1,1,285,41,2,1,2,https://tools.wprdc.org/images/pittsburgh/steps/Ireland_Way_1.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.46682447,-80.03352592
1298046127,Ireland Way 2,1st Division,,Concrete,62,10,1,1,272,36,2,1,2,https://tools.wprdc.org/images/pittsburgh/steps/Ireland_Way_2.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.46672548,-80.03338293
959161300,Irwin Ave from Melrose Ave to Chautauqua Court,1st Division,1946-01-01,Concrete,232,177,0,100,516,51,6,9,8,https://tools.wprdc.org/images/pittsburgh/steps/Irwin_Ave_from_Melrose_Ave_to_Chautauqua_Court.jpg,Perry South,6,25,42003261400,1,25,1,1-12,40.46344593,-80.01764553
857643485,Irwin Ave from Strauss to Chester Ave,1st Division,1946-01-01,Concrete,409,229,0,100,508,31,5,8,4,https://tools.wprdc.org/images/pittsburgh/steps/Irwin_Ave_from_Strauss_to_Chester_Ave.jpg,Perry South,6,26,42003261400,1,26,1,1-12,40.46579861,-80.01842587
689884874,Itin St and Concord St,1st Division,,Concrete,40,11,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Itin_St_and_Concord_St.jpg,Spring Garden,1,23,42003241200,1,23,1,1-5,40.4582261,-79.9953797
70465437,Ivondale St from Ivondale St to Anthony St,3rd Division,1950-01-01,Concrete,34,33,1,6,200,0,4,10,2,https://tools.wprdc.org/images/pittsburgh/steps/Ivondale_St_from_Ivondale_St_to_Anthony_St.jpg,Greenfield,5,15,42003151600,3,15,4,2-12,40.42749347,-79.94494307
755379182,Jacob St from Brookline Blvd to Sunbeam Way,4th Division,1988-01-01,Concrete,781,364,0,100,401,22,5,10,3,https://tools.wprdc.org/images/pittsburgh/steps/Jacob_St_from_Brookline_Blvd_to_Sunbeam_Way.jpg,Overbrook,4,32,42003320600,5,32,3,4-25,40.38997128,-79.99937462
1049420272,James St to Fountain St,Facilities,1948-01-01,Concrete,97,62,1,6,705,233,9,5,10,https://tools.wprdc.org/images/pittsburgh/steps/James_St_to_Fountain_St.jpg,Central Northside,6,25,42003220600,1,25,1,1-10,40.45854064,-80.00229308
705662424,Jancey St from Butler St to Baker St,2nd Division,,Concrete,241,137,1,8,783,110,9,7,8,https://tools.wprdc.org/images/pittsburgh/steps/Jancey_St_from_Butler_St_to_Baker_St.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48845241,-79.92440321
1968165674,Jane St to Mary St,4th Division,1947-01-01,Concrete,380,114,0,100,366,8,2,2,2,https://tools.wprdc.org/images/pittsburgh/steps/Jane_St_to_Mary_St.jpg,South Side Slopes,3,16,42003160800,3,16,3,4-24,40.42170441,-79.96310794
821632440,Jeffers St from Faronia St to Fire Way,5th Division,1946-01-01,Concrete,102,,0,100,682,85,6,5,4,https://tools.wprdc.org/images/pittsburgh/steps/Jeffers_St_from_Faronia_St_to_Fire_Way.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45123157,-80.06637064
2075890626,Jeffers St from Fire Way to Middletown Rd,5th Division,1946-01-01,Concrete,95,,0,100,662,85,6,5,4,https://tools.wprdc.org/images/pittsburgh/steps/Jeffers_St_from_Fire_Way_to_Middletown_Rd.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45093051,-80.06655571
1981171504,Jenkins St from Berry St,5th Division,,Wood,25,16,0,100,566,40,2,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Jenkins_St_from_Berry_St.jpg,Windgap,2,28,42003464300,5,28,6,1-16,40.44825504,-80.0640334
150227666,Jewel St from Flavian St to Melwood Ave,3rd Division,1949-01-01,Concrete,412,163,0,100,752,37,4,3,4,https://tools.wprdc.org/images/pittsburgh/steps/Jewel_St_from_Flavian_St_to_Melwood_Ave.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45888189,-79.96333692
986328071,Jillson St from Kenilworth to Plainview Ave,4th Division,,Concrete,113,5,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Jillson_St_from_Kenilworth_to_Plainview_Ave.jpg,Brookline,4,19,42003191900,5,19,6,4-26,40.39615645,-80.02623325
1159313336,Johnston Ave at Cove Place to Broadview St,3rd Division,,Concrete,127,108,0,100,193,29,1,1,1,https://tools.wprdc.org/images/pittsburgh/steps/Johnston_Ave_at_Cove_Place_to_Broadview_St.jpg,Glen Hazel,5,15,42003562300,3,15,4,2-13,40.40938254,-79.92638573
1255830299,Joncaire St at Isis Way to Frick Art Museum,Construction,1949-01-01,Concrete,216,136,0,100,796,0,2,1,3,https://tools.wprdc.org/images/pittsburgh/steps/Joncaire_St_at_Isis_Way_to_Frick_Art_Museum.jpg,Central Oakland,3,4,42003040500,3,4,4,2-8,40.44077134,-79.95062935
